# This file derived from http://chir.ag/projects/ntc/ntc.js, by Chirag Mehta
# Creative Commons License: Attribution 2.5 http://creativecommons.org/licenses/by/2.5/

000000,Black
CADCD4,Paris White
CAE00D,Bitter Lemon
CAE6DA,Skeptic
CB8FA9,Viola
CBCAB6,Foggy Gray
CBCBCB,79.6% Gray
CBD3B0,Green Mist
CBDBD6,Nebula
CC3333,Persian Red
CC5500,Burnt Orange
CC7722,Ochre
CC8899,Puce
CCCAA8,Thistle Green
CCCCCC,80.0% Gray
CCCCFF,Periwinkle
CCFF00,Electric Lime
CD5700,Tenn
CD5C5C,Chestnut Rose
CD8429,Brandy Punch
CDCDCD,80.4% Gray
CDF4FF,Onahau
CEB98F,Sorrell Brown
CEBABA,Cold Turkey
CEC291,Yuma
CEC7A7,Chino
CECECE,80.8% Gray
CFA39D,Eunry
CFB53B,Old Gold
CFCFCF,81.2% Gray
CFDCCF,Tasman
CFE5D2,Surf Crest
CFF9F3,Humming Bird
CFFAF4,Scandal
D05F04,Red Stage
D06DA1,Hopbush
D07D12,Meteor
D0BEF8,Perfume
D0C0E5,Prelude
D0D0D0,81.6% Gray
D0F0C0,Tea Green
D18F1B,Geebung
D1BEA8,Vanilla
D1C6B4,Soft Amber
D1D1D1,82.0% Gray
D1D2CA,Celeste
D1D2DD,Mischka
D1E231,Pear
D2691E,Hot Cinnamon
D27D46,Raw Sienna
D29EAA,Careys Pink
D2B48C,Tan
D2D2D2,82.4% Gray
D2DA97,Deco
D2F6DE,Blue Romance
D2F8B0,Gossip
D3CBBA,Sisal
D3CDC5,Swirl
D3D3D3,82.7% Gray
D47494,Charm
D4B6AF,Clam Shell
D4BF8D,Straw
D4C4A8,Akaroa
D4CD16,Bird Flower
D4D4D4,83.1% Gray
D4D7D9,Iron
D4DFE2,Geyser
D4E2FC,Hawkes Blue
D54600,Grenadier
D591A4,Can Can
D59A6F,Whiskey
D5D195,Winter Hazel
D5D5D5,83.5% Gray
D5F6E3,Granny Apple
D69188,My Pink
D6C562,Tacha
D6CEF6,Moon Raker
D6D6D1,Quill Gray
D6D6D6,83.9% Gray
D6FFDB,Snowy Mint
D7837F,New York Pink
D7C498,Pavlova
D7D0FF,Fog
D7D7D7,84.3% Gray
D84437,Valencia
D87C63,Japonica
D8BFD8,Thistle
D8C2D5,Maverick
D8D8D8,84.7% Gray
D8FCFA,Foam
D94972,Cabaret
D99376,Burning Sand
D9B99B,Cameo
D9D6CF,Timberwolf
D9D9D9,85.1% Gray
D9DCC1,Tana
D9E4F5,Link Water
D9F7FF,Mabel
DA3287,Cerise
DA5B38,Flame Pea
DA6304,Bamboo
DA6A41,Red Damask
DA70D6,Orchid
DA8A67,Copperfield
DAA520,Golden Grass
DADADA,85.5% Gray
DAECD6,Zanah
DAF4F0,Iceberg
DAFAFF,Oyster Bay
DB5079,Cranberry
DB9690,Petite Orchid
DB995E,Di Serria
DBDBDB,85.9% Gray
DBDBDB,Alto
DBFFF8,Frosted Mint
DC143C,Crimson
DC4333,Punch
DCB20C,Galliano
DCB4BC,Blossom
DCD747,Wattle
DCD9D2,Westar
DCDCDC,86.3% Gray
DCDDCC,Moon Mist
DCEDB4,Caper
DCF0EA,Swans Down
DDD6D5,Swiss Coffee
DDDDDD,86.7% Gray
DDF9F1,White Ice
DE3163,Cerise Red
DE6360,Roman
DEA681,Tumbleweed
DEBA13,Gold Tips
DEC196,Brandy
DECBC6,Wafer
DED4A4,Sapling
DED717,Barberry
DEDEDE,87.1% Gray
DEE5C0,Beryl Green
DEF5FF,Pattens Blue
DF73FF,Heliotrope
DFBE6F,Apache
DFCD6F,Chenin
DFCFDB,Lola
DFDFDF,87.5% Gray
DFECDA,Willow Brook
DFFF00,Chartreuse Yellow
E0B0FF,Mauve
E0B646,Anzac
E0B974,Harvest Gold
E0C095,Calico
E0E0E0,87.8% Gray
E0FFFF,Baby Blue
E16865,Sunglo
E1BC64,Equator
E1C0C8,Pink Flare
E1E1E1,88.2% Gray
E1E6D6,Periglacial Blue
E1EAD4,Kidnapper
E1F6E8,Tara
E25465,Mandy
E2725B,Terracotta
E28913,Golden Bell
E292C0,Shocking
E29418,Dixie
E29CD2,Light Orchid
E2D8ED,Snuff
E2E2E2,88.6% Gray
E2EBED,Mystic
E2F3EC,Apple Green
E30B5C,Razzmatazz
E32636,Alizarin Crimson
E34234,Cinnabar
E3BEBE,Cavern Pink
E3E3E3,89.0% Gray
E3F5E1,Peppermint
E3F988,Mindaro
E47698,Deep Blush
E49B0F,Gamboge
E4C2D5,Melanie
E4CFDE,Twilight
E4D1C0,Bone
E4D422,Sunflower
E4D5B7,Grain Brown
E4D69B,Zombie
E4E4E4,89.4% Gray
E4F6E7,Frostee
E4FFD1,Snow Flurry
E52B50,Amaranth
E5841B,Zest
E5CCC9,Dust Storm
E5D7BD,Stark White
E5D8AF,Hampton
E5E0E1,Bon Jour
E5E5E5,89.8% Gray
E5E5E5,Mercury
E5F9F6,Polar
E64E03,Trinidad
E6BE8A,Gold Sand
E6BEA5,Cashmere
E6D7B9,Double Spanish White
E6E4D4,Satin Linen
E6E6E6,90.2% Gray
E6F2EA,Harp
E6F8F3,Off Green
E6FFE9,Hint of Green
E6FFFF,Tranquil
E77200,Mango Tango
E7730A,Christine
E79F8C,Tonys Pink
E79FC4,Kobi
E7BCB4,Rose Fog
E7BF05,Corn
E7CD8C,Putty
E7E7E7,90.6% Gray
E7ECE6,Gray Nurse
E7F8FF,Lily White
E7FEFF,Bubbles
E89928,Fire Bush
E8B9B3,Shilo
E8E0D5,Pearl Bush
E8E8E8,91.0% Gray
E8EBE0,Green White
E8F1D4,Chrome White
E8F2EB,Gin
E8F5F2,Aqua Squeeze
E96E00,Clementine
E97451,Burnt Sienna
E97C07,Tahiti Gold
E9CECD,Oyster Pink
E9D75A,Confetti
E9E3E3,Ebb
E9E9E9,91.4% Gray
E9F8ED,Ottoman
E9FFFD,Clear Day
EA88A8,Carissma
EAAE69,Porsche
EAB33B,Tulip Tree
EAC674,Rob Roy
EADAB8,Raffia
EAE8D4,White Rock
EAEAEA,91.8% Gray
EAF6EE,Panache
EAF6FF,Solitude
EAF9F5,Aqua Spring
EAFFFE,Dew
EB9373,Apricot
EBC2AF,Zinnwaldite
EBEBEB,92.2% Gray
ECA927,Fuel Yellow
ECC54E,Ronchi
ECC7EE,French Lilac
ECCDB9,Just Right
ECE090,Wild Rice
ECEBBD,Fall Green
ECEBCE,Aths Special
ECECEC,92.5% Gray
ECF245,Starship
ED0A3F,Red Ribbon
ED7A1C,Tango
ED9121,Carrot Orange
ED989E,Sea Pink
EDB381,Tacao
EDC9AF,Desert Sand
EDCDAB,Pancho
EDDCB1,Chamois
EDEA99,Primrose
EDEDED,92.9% Gray
EDF5DD,Frost
EDF5F5,Aqua Haze
EDF6FF,Zumthor
EDF9F1,Narvik
EDFC84,Honeysuckle
EE82EE,Lavender Magenta
EEC1BE,Beauty Bush
EED794,Chalky
EED9C4,Almond
EEDC82,Flax
EEDEDA,Bizarre
EEE3AD,Double Colonial White
EEEEE8,Cararra
EEEEEE,93.3% Gray
EEEF78,Manz
EEF0C8,Tahuna Sands
EEF0F3,Athens Gray
EEF3C3,Tusk
EEF4DE,Loafer
EEF6F7,Catskill White
EEFDFF,Twilight Blue
EEFF9A,Jonquil
EEFFE2,Rice Flower
EF863F,Jaffa
EFEFEF,93.7% Gray
EFEFEF,Gallery
EFF2F3,Porcelain
F091A9,Mauvelous
F0D52D,Golden Dream
F0DB7D,Golden Sand
F0DC82,Buff
F0E2EC,Prim
F0E68C,Khaki
F0EEFD,Selago
F0EEFF,Titan White
F0F0F0,94.1% Gray
F0F8FF,Alice Blue
F0FCEA,Feta
F18200,Gold Drop
F19BAB,Wewak
F1E788,Sahara Sand
F1E9D2,Parchment
F1E9FF,Blue Chalk
F1EEC1,Mint Julep
F1F1F1,94.5% Gray
F1F1F1,Seashell
F1F7F2,Saltpan
F1FFAD,Tidal
F1FFC8,Chiffon
F2552A,Flamingo
F28500,Tangerine
F2C3B2,Mandys Pink
F2F2F2,94.9% Gray
F2F2F2,Concrete
F2FAFA,Black Squeeze
F34723,Pomegranate
F3AD16,Buttercup
F3D69D,New Orleans
F3D9DF,Vanilla Ice
F3E7BB,Sidecar
F3E9E5,Dawn Pink
F3EDCF,Wheatfield
F3F3F3,95.3% Gray
F3FB62,Canary
F3FBD4,Orinoco
F3FFD8,Carla
F400A1,Hollywood Cerise
F4A460,Sandy brown
F4C430,Saffron
F4D81C,Ripe Lemon
F4EBD3,Janna
F4F2EE,Pampas
F4F4F4,95.7% Gray
F4F4F4,Wild Sand
F4F8FF,Zircon
F57584,Froly
F5C85C,Cream Can
F5C999,Manhattan
F5D5A0,Maize
F5DEB3,Wheat
F5E7A2,Sandwisp
F5E7E2,Pot Pourri
F5E9D3,Albescent White
F5EDEF,Soft Peach
F5F3E5,Ecru White
F5F5DC,Beige
F5F5F5,96.1% Gray
F5FB3D,Golden Fizz
F5FFBE,Australian Mint
F64A8A,French Rose
F653A6,Brilliant Rose
F6A4C9,Illusion
F6F0E6,Merino
F6F6F6,96.5% Gray
F6F7F7,Black Haze
F6FFDC,Spring Sun
F7468A,Violet Red
F77703,Chilean Fire
F77FBE,Persian Pink
F7B668,Rajah
F7C8DA,Azalea
F7DBE6,We Peep
F7F2E1,Quarter Spanish White
F7F5FA,Whisper
F7F7F7,96.9% Gray
F7FAF7,Snow Drift
F8B853,Casablanca
F8C3DF,Chantilly
F8D9E9,Cherub
F8DB9D,Marzipan
F8DD5C,Energy Yellow
F8E4BF,Givry
F8F0E8,White Linen
F8F4FF,Magnolia
F8F6F1,Spring Wood
F8F7DC,Coconut Cream
F8F7FC,White Lilac
F8F8F7,Desert Storm
F8F8F8,97.3% Gray
F8F99C,Texas
F8FACD,Corn Field
F8FDD3,Mimosa
F95A61,Carnation
F9BF58,Saffron Mango
F9E0ED,Carousel Pink
F9E4BC,Dairy Cream
F9E663,Portica
F9EAF3,Amour
F9F8E4,Rum Swizzle
F9F9F9,97.6% Gray
F9FF8B,Dolly
F9FFF6,Sugar Cane
FA7814,Ecstasy
FA9D5A,Tan Hide
FAD3A2,Corvette
FADFAD,Peach Yellow
FAE600,Turbo
FAEAB9,Astra
FAECCC,Champagne
FAF0E6,Linen
FAF3F0,Fantasy
FAF7D6,Citrine White
FAFAFA,98.0% Gray
FAFAFA,Alabaster
FAFDE4,Hint of Yellow
FAFFA4,Milan
FB607F,Brink Pink
FB8989,Geraldine
FBA0E3,Lavender Rose
FBA129,Sea Buckthorn
FBAC13,Sun
FBAED2,Lavender Pink
FBB2A3,Rose Bud
FBBEDA,Cupid
FBCCE7,Classic Rose
FBCEB1,Apricot Peach
FBE7B2,Banana Mania
FBE870,Marigold Yellow
FBE96C,Festival
FBEA8C,Sweet Corn
FBEC5D,Candy Corn
FBF9F9,Hint of Red
FBFBFB,98.4% Gray
FBFFBA,Shalimar
FC0FC0,Shocking Pink
FC80A5,Tickle Me Pink
FC9C1D,Tree Poppy
FCC01E,Lightning Yellow
FCD667,Goldenrod
FCD917,Candlelight
FCDA98,Cherokee
FCF4D0,Double Pearl Lusta
FCF4DC,Pearl Lusta
FCF8F7,Vista White
FCFBF3,Bianca
FCFCFC,98.8% Gray
FCFEDA,Moon Glow
FCFFE7,China Ivory
FCFFF9,Ceramic
FD0E35,Torch Red
FD5B78,Wild Watermelon
FD7B33,Crusta
FD7C07,Sorbus
FD9FA2,Sweet Pink
FDD5B1,Light Apricot
FDD7E4,Pig Pink
FDE1DC,Cinderella
FDE295,Golden Glow
FDE910,Lemon
FDF5E6,Old Lace
FDF6D3,Half Colonial White
FDF7AD,Drover
FDFDFD,99.2% Gray
FDFEB8,Pale Prim
FDFFD5,Cumulus
FE28A2,Persian Rose
FE4C40,Sunset Orange
FE6F5E,Bittersweet
FE9D04,California
FEA904,Yellow Sea
FEBAAD,Melon
FED33C,Bright Sun
FED85D,Dandelion
FEDB8D,Salomie
FEE5AC,Cape Honey
FEEBF3,Remy
FEEFCE,Oasis
FEF0EC,Bridesmaid
FEF2C7,Beeswax
FEF3D8,Bleach White
FEF4CC,Pipi
FEF4DB,Half Spanish White
FEF4F8,Wisp Pink
FEF5F1,Provincial Pink
FEF7DE,Half Dutch White
FEF8E2,Solitaire
FEF8FF,White Pointer
FEF9E3,Off Yellow
FEFCED,Orange White
FEFEFE,99.6% Gray
FF0000,Red
FF007F,Rose
FF00CC,Purple Pizzazz
FF00FF,Magenta
FF2400,Scarlet
FF3399,Wild Strawberry
FF33CC,Razzle Dazzle Rose
FF355E,Radical Red
FF3F34,Red Orange
FF4040,Coral Red
FF4D00,Vermilion
FF4F00,International Orange
FF6037,Outrageous Orange
FF6600,Blaze Orange
FF66FF,Pink Flamingo
FF681F,Orange
FF69B4,Hot Pink
FF6B53,Persimmon
FF6FFF,Blush Pink
FF7034,Burning Orange
FF7518,Pumpkin
FF7D07,Flamenco
FF7F00,Flush Orange
FF7F50,Coral
FF8C69,Salmon
FF9000,Pizazz
FF910F,West Side
FF91A4,Pink Salmon
FF9933,Neon Carrot
FF9966,Atomic Tangerine
FF9980,Vivid Tangerine
FF9E2C,Sunshade
FFA000,Orange Peel
FFA194,Mona Lisa
FFA500,Web Orange
FFA6C9,Carnation Pink
FFAB81,Hit Pink
FFAE42,Yellow Orange
FFB0AC,Cornflower Lilac
FFB1B3,Sundown
FFB31F,My Sin
FFB555,Texas Rose
FFB7D5,Cotton Candy
FFB97B,Macaroni and Cheese
FFBA00,Selective Yellow
FFBD5F,Koromiko
FFBF00,Amber
FFC0A8,Wax Flower
FFC0CB,Pink
FFC3C0,Your Pink
FFC901,Supernova
FFCBA4,Flesh
FFCC33,Sunglow
FFCC5C,Golden Tainoi
FFCC99,Peach Orange
FFCD8C,Chardonnay
FFD1DC,Pastel Pink
FFD2B7,Romantic
FFD38C,Grandis
FFD700,Gold
FFD800,School bus Yellow
FFD8D9,Cosmos
FFDB58,Mustard
FFDCD6,Peach Schnapps
FFDDAF,Caramel
FFDDCD,Tuft Bush
FFDDCF,Watusi
FFDDF4,Pink Lace
FFDEAD,Navajo White
FFDEB3,Frangipani
FFE1DF,Pippin
FFE1F2,Pale Rose
FFE2C5,Negroni
FFE5A0,Cream Brulee
FFE5B4,Peach
FFE6C7,Tequila
FFE772,Kournikova
FFEAC8,Sandy Beach
FFEAD4,Karry
FFEC13,Broom
FFEDBC,Colonial White
FFEED8,Derby
FFEFA1,Vis Vis
FFEFC1,Egg White
FFEFD5,Papaya Whip
FFEFEC,Fair Pink
FFF0DB,Peach Cream
FFF0F5,Lavender blush
FFF14F,Gorse
FFF1B5,Buttermilk
FFF1D8,Pink Lady
FFF1EE,Forget Me Not
FFF1F9,Tutu
FFF39D,Picasso
FFF3F1,Chardon
FFF46E,Paris Daisy
FFF4CE,Barley White
FFF4DD,Egg Sour
FFF4E0,Sazerac
FFF4E8,Serenade
FFF4F3,Chablis
FFF5EE,Seashell Peach
FFF5F3,Sauvignon
FFF6D4,Milk Punch
FFF6DF,Varden
FFF6F5,Rose White
FFF8D1,Baja White
FFF9E2,Gin Fizz
FFF9E6,Early Dawn
FFFACD,Lemon Chiffon
FFFAF4,Bridal Heath
FFFBDC,Scotch Mist
FFFBF9,Soapstone
FFFC99,Witch Haze
FFFCEA,Buttery White
FFFCEE,Island Spice
FFFDD0,Cream
FFFDE6,Chilean Heath
FFFDE8,Travertine
FFFDF3,Orchid White
FFFDF4,Quarter Pearl Lusta
FFFEE1,Half and Half
FFFEEC,Apricot White
FFFEF0,Rice Cake
FFFEF6,Black White
FFFEFD,Romance
FFFF00,Yellow
FFFF66,Laser Lemon
FFFF99,Pale Canary
FFFFB4,Portafino
FFFFF0,Ivory
FFFFFF,White
