# emoji-sequences.txt
# Date: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 16.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following:
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       RGI_Emoji_Flag_Sequence
#       RGI_Emoji_Tag_Sequence
#       RGI_Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# For the purpose of regular expressions, each of the type fields defines the name of
# a binary property of strings. The short name of each property is the same as the long name.
#
# For the purpose of regular expressions, the property RGI_Emoji is defined as
# a binary property of strings corresponding to ED-27 in UTS #51 Unicode Emoji.
# That is, it is the union of the above properties plus RGI_Emoji_ZWJ_Sequence,
# whose data is in emoji-zwj-sequences.txt.
# The short name of RGI_Emoji is the same as the long name.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji                  ; watch..hourglass done                                          # E0.6   [2] (⌚..⌛)
26C8 FE0F     ; Basic_Emoji                  ; cloud with lightning and rain                                  # E0.7   [1] (⛈️)
26CF FE0F     ; Basic_Emoji                  ; pick                                                           # E0.7   [1] (⛏️)
26D1 FE0F     ; Basic_Emoji                  ; rescue worker’s helmet                                         # E0.7   [1] (⛑️)
26D3 FE0F     ; Basic_Emoji                  ; chains                                                         # E0.7   [1] (⛓️)
26E9 FE0F     ; Basic_Emoji                  ; shinto shrine                                                  # E0.7   [1] (⛩️)
26F0 FE0F     ; Basic_Emoji                  ; mountain                                                       # E0.7   [1] (⛰️)
26F1 FE0F     ; Basic_Emoji                  ; umbrella on ground                                             # E0.7   [1] (⛱️)
26F4 FE0F     ; Basic_Emoji                  ; ferry                                                          # E0.7   [1] (⛴️)
26F7 FE0F     ; Basic_Emoji                  ; skier                                                          # E0.7   [1] (⛷️)
26F8 FE0F     ; Basic_Emoji                  ; ice skate                                                      # E0.7   [1] (⛸️)
26F9 FE0F     ; Basic_Emoji                  ; person bouncing ball                                           # E0.7   [1] (⛹️)
2702 FE0F     ; Basic_Emoji                  ; scissors                                                       # E0.6   [1] (✂️)
2708 FE0F     ; Basic_Emoji                  ; airplane                                                       # E0.6   [1] (✈️)
2709 FE0F     ; Basic_Emoji                  ; envelope                                                       # E0.6   [1] (✉️)
270C FE0F     ; Basic_Emoji                  ; victory hand                                                   # E0.6   [1] (✌️)
270D FE0F     ; Basic_Emoji                  ; writing hand                                                   # E0.7   [1] (✍️)
270F FE0F     ; Basic_Emoji                  ; pencil                                                         # E0.6   [1] (✏️)
2712 FE0F     ; Basic_Emoji                  ; black nib                                                      # E0.6   [1] (✒️)
2714 FE0F     ; Basic_Emoji                  ; check mark                                                     # E0.6   [1] (✔️)
2716 FE0F     ; Basic_Emoji                  ; multiply                                                       # E0.6   [1] (✖️)
271D FE0F     ; Basic_Emoji                  ; latin cross                                                    # E0.7   [1] (✝️)
2721 FE0F     ; Basic_Emoji                  ; star of David                                                  # E0.7   [1] (✡️)
2733 FE0F     ; Basic_Emoji                  ; eight-spoked asterisk                                          # E0.6   [1] (✳️)
2734 FE0F     ; Basic_Emoji                  ; eight-pointed star                                             # E0.6   [1] (✴️)
2744 FE0F     ; Basic_Emoji                  ; snowflake                                                      # E0.6   [1] (❄️)
2747 FE0F     ; Basic_Emoji                  ; sparkle                                                        # E0.6   [1] (❇️)
2763 FE0F     ; Basic_Emoji                  ; heart exclamation                                              # E1.0   [1] (❣️)
2764 FE0F     ; Basic_Emoji                  ; red heart                                                      # E0.6   [1] (❤️)
27A1 FE0F     ; Basic_Emoji                  ; right arrow                                                    # E0.6   [1] (➡️)
2934 FE0F     ; Basic_Emoji                  ; right arrow curving up                                         # E0.6   [1] (⤴️)
2935 FE0F     ; Basic_Emoji                  ; right arrow curving down                                       # E0.6   [1] (⤵️)
2B05 FE0F     ; Basic_Emoji                  ; left arrow                                                     # E0.6   [1] (⬅️)
2B06 FE0F     ; Basic_Emoji                  ; up arrow                                                       # E0.6   [1] (⬆️)
2B07 FE0F     ; Basic_Emoji                  ; down arrow                                                     # E0.6   [1] (⬇️)
3030 FE0F     ; Basic_Emoji                  ; wavy dash                                                      # E0.6   [1] (〰️)
303D FE0F     ; Basic_Emoji                  ; part alternation mark                                          # E0.6   [1] (〽️)
3297 FE0F     ; Basic_Emoji                  ; Japanese “congratulations” button                              # E0.6   [1] (㊗️)
3299 FE0F     ; Basic_Emoji                  ; Japanese “secret” button                                       # E0.6   [1] (㊙️)
1F170 FE0F    ; Basic_Emoji                  ; A button (blood type)                                          # E0.6   [1] (🅰️)
1F171 FE0F    ; Basic_Emoji                  ; B button (blood type)                                          # E0.6   [1] (🅱️)
1F17E FE0F    ; Basic_Emoji                  ; O button (blood type)                                          # E0.6   [1] (🅾️)
1F17F FE0F    ; Basic_Emoji                  ; P button                                                       # E0.6   [1] (🅿️)
1F202 FE0F    ; Basic_Emoji                  ; Japanese “service charge” button                               # E0.6   [1] (🈂️)
1F237 FE0F    ; Basic_Emoji                  ; Japanese “monthly amount” button                               # E0.6   [1] (🈷️)
1F321 FE0F    ; Basic_Emoji                  ; thermometer                                                    # E0.7   [1] (🌡️)
1F324 FE0F    ; Basic_Emoji                  ; sun behind small cloud                                         # E0.7   [1] (🌤️)
1F325 FE0F    ; Basic_Emoji                  ; sun behind large cloud                                         # E0.7   [1] (🌥️)
1F326 FE0F    ; Basic_Emoji                  ; sun behind rain cloud                                          # E0.7   [1] (🌦️)
1F327 FE0F    ; Basic_Emoji                  ; cloud with rain                                                # E0.7   [1] (🌧️)
1F328 FE0F    ; Basic_Emoji                  ; cloud with snow                                                # E0.7   [1] (🌨️)
1F329 FE0F    ; Basic_Emoji                  ; cloud with lightning                                           # E0.7   [1] (🌩️)
1F32A FE0F    ; Basic_Emoji                  ; tornado                                                        # E0.7   [1] (🌪️)
1F32B FE0F    ; Basic_Emoji                  ; fog                                                            # E0.7   [1] (🌫️)
1F32C FE0F    ; Basic_Emoji                  ; wind face                                                      # E0.7   [1] (🌬️)
1F336 FE0F    ; Basic_Emoji                  ; hot pepper                                                     # E0.7   [1] (🌶️)
1F37D FE0F    ; Basic_Emoji                  ; fork and knife with plate                                      # E0.7   [1] (🍽️)
1F396 FE0F    ; Basic_Emoji                  ; military medal                                                 # E0.7   [1] (🎖️)
1F397 FE0F    ; Basic_Emoji                  ; reminder ribbon                                                # E0.7   [1] (🎗️)
1F399 FE0F    ; Basic_Emoji                  ; studio microphone                                              # E0.7   [1] (🎙️)
1F39A FE0F    ; Basic_Emoji                  ; level slider                                                   # E0.7   [1] (🎚️)
1F39B FE0F    ; Basic_Emoji                  ; control knobs                                                  # E0.7   [1] (🎛️)
1F39E FE0F    ; Basic_Emoji                  ; film frames                                                    # E0.7   [1] (🎞️)
1F39F FE0F    ; Basic_Emoji                  ; admission tickets                                              # E0.7   [1] (🎟️)
1F3CB FE0F    ; Basic_Emoji                  ; person lifting weights                                         # E0.7   [1] (🏋️)
1F3CC FE0F    ; Basic_Emoji                  ; person golfing                                                 # E0.7   [1] (🏌️)
1F3CD FE0F    ; Basic_Emoji                  ; motorcycle                                                     # E0.7   [1] (🏍️)
1F3CE FE0F    ; Basic_Emoji                  ; racing car                                                     # E0.7   [1] (🏎️)
1F3D4 FE0F    ; Basic_Emoji                  ; snow-capped mountain                                           # E0.7   [1] (🏔️)
1F3D5 FE0F    ; Basic_Emoji                  ; camping                                                        # E0.7   [1] (🏕️)
1F3D6 FE0F    ; Basic_Emoji                  ; beach with umbrella                                            # E0.7   [1] (🏖️)
1F3D7 FE0F    ; Basic_Emoji                  ; building construction                                          # E0.7   [1] (🏗️)
1F3D8 FE0F    ; Basic_Emoji                  ; houses                                                         # E0.7   [1] (🏘️)
1F3D9 FE0F    ; Basic_Emoji                  ; cityscape                                                      # E0.7   [1] (🏙️)
1F3DA FE0F    ; Basic_Emoji                  ; derelict house                                                 # E0.7   [1] (🏚️)
1F3DB FE0F    ; Basic_Emoji                  ; classical building                                             # E0.7   [1] (🏛️)
1F3DC FE0F    ; Basic_Emoji                  ; desert                                                         # E0.7   [1] (🏜️)
1F3DD FE0F    ; Basic_Emoji                  ; desert island                                                  # E0.7   [1] (🏝️)
1F3DE FE0F    ; Basic_Emoji                  ; national park                                                  # E0.7   [1] (🏞️)
1F3DF FE0F    ; Basic_Emoji                  ; stadium                                                        # E0.7   [1] (🏟️)
1F3F3 FE0F    ; Basic_Emoji                  ; white flag                                                     # E0.7   [1] (🏳️)
1F3F5 FE0F    ; Basic_Emoji                  ; rosette                                                        # E0.7   [1] (🏵️)
1F3F7 FE0F    ; Basic_Emoji                  ; label                                                          # E0.7   [1] (🏷️)
1F43F FE0F    ; Basic_Emoji                  ; chipmunk                                                       # E0.7   [1] (🐿️)
1F441 FE0F    ; Basic_Emoji                  ; eye                                                            # E0.7   [1] (👁️)
1F4FD FE0F    ; Basic_Emoji                  ; film projector                                                 # E0.7   [1] (📽️)
1F549 FE0F    ; Basic_Emoji                  ; om                                                             # E0.7   [1] (🕉️)
1F54A FE0F    ; Basic_Emoji                  ; dove                                                           # E0.7   [1] (🕊️)
1F56F FE0F    ; Basic_Emoji                  ; candle                                                         # E0.7   [1] (🕯️)
1F570 FE0F    ; Basic_Emoji                  ; mantelpiece clock                                              # E0.7   [1] (🕰️)
1F573 FE0F    ; Basic_Emoji                  ; hole                                                           # E0.7   [1] (🕳️)
1F574 FE0F    ; Basic_Emoji                  ; person in suit levitating                                      # E0.7   [1] (🕴️)
1F575 FE0F    ; Basic_Emoji                  ; detective                                                      # E0.7   [1] (🕵️)
1F576 FE0F    ; Basic_Emoji                  ; sunglasses                                                     # E0.7   [1] (🕶️)
1F577 FE0F    ; Basic_Emoji                  ; spider                                                         # E0.7   [1] (🕷️)
1F578 FE0F    ; Basic_Emoji                  ; spider web                                                     # E0.7   [1] (🕸️)
1F579 FE0F    ; Basic_Emoji                  ; joystick                                                       # E0.7   [1] (🕹️)
1F587 FE0F    ; Basic_Emoji                  ; linked paperclips                                              # E0.7   [1] (🖇️)
1F58A FE0F    ; Basic_Emoji                  ; pen                                                            # E0.7   [1] (🖊️)
1F58B FE0F    ; Basic_Emoji                  ; fountain pen                                                   # E0.7   [1] (🖋️)
1F58C FE0F    ; Basic_Emoji                  ; paintbrush                                                     # E0.7   [1] (🖌️)
1F58D FE0F    ; Basic_Emoji                  ; crayon                                                         # E0.7   [1] (🖍️)
1F590 FE0F    ; Basic_Emoji                  ; hand with fingers splayed                                      # E0.7   [1] (🖐️)
1F5A5 FE0F    ; Basic_Emoji                  ; desktop computer                                               # E0.7   [1] (🖥️)
1F5A8 FE0F    ; Basic_Emoji                  ; printer                                                        # E0.7   [1] (🖨️)
1F5B1 FE0F    ; Basic_Emoji                  ; computer mouse                                                 # E0.7   [1] (🖱️)
1F5B2 FE0F    ; Basic_Emoji                  ; trackball                                                      # E0.7   [1] (🖲️)
1F5BC FE0F    ; Basic_Emoji                  ; framed picture                                                 # E0.7   [1] (🖼️)
1F5C2 FE0F    ; Basic_Emoji                  ; card index dividers                                            # E0.7   [1] (🗂️)
1F5C3 FE0F    ; Basic_Emoji                  ; card file box                                                  # E0.7   [1] (🗃️)
1F5C4 FE0F    ; Basic_Emoji                  ; file cabinet                                                   # E0.7   [1] (🗄️)
1F5D1 FE0F    ; Basic_Emoji                  ; wastebasket                                                    # E0.7   [1] (🗑️)
1F5D2 FE0F    ; Basic_Emoji                  ; spiral notepad                                                 # E0.7   [1] (🗒️)
1F5D3 FE0F    ; Basic_Emoji                  ; spiral calendar                                                # E0.7   [1] (🗓️)
1F5DC FE0F    ; Basic_Emoji                  ; clamp                                                          # E0.7   [1] (🗜️)
1F5DD FE0F    ; Basic_Emoji                  ; old key                                                        # E0.7   [1] (🗝️)
1F5DE FE0F    ; Basic_Emoji                  ; rolled-up newspaper                                            # E0.7   [1] (🗞️)
1F5E1 FE0F    ; Basic_Emoji                  ; dagger                                                         # E0.7   [1] (🗡️)
1F5E3 FE0F    ; Basic_Emoji                  ; speaking head                                                  # E0.7   [1] (🗣️)
1F5E8 FE0F    ; Basic_Emoji                  ; left speech bubble                                             # E2.0   [1] (🗨️)
1F5EF FE0F    ; Basic_Emoji                  ; right anger bubble                                             # E0.7   [1] (🗯️)
1F5F3 FE0F    ; Basic_Emoji                  ; ballot box with ballot                                         # E0.7   [1] (🗳️)
1F5FA FE0F    ; Basic_Emoji                  ; world map                                                      # E0.7   [1] (🗺️)
1F6CB FE0F    ; Basic_Emoji                  ; couch and lamp                                                 # E0.7   [1] (🛋️)
1F6CD FE0F    ; Basic_Emoji                  ; shopping bags                                                  # E0.7   [1] (🛍️)
1F6CE FE0F    ; Basic_Emoji                  ; bellhop bell                                                   # E0.7   [1] (🛎️)
1F6CF FE0F    ; Basic_Emoji                  ; bed                                                            # E0.7   [1] (🛏️)
1F6E0 FE0F    ; Basic_Emoji                  ; hammer and wrench                                              # E0.7   [1] (🛠️)
1F6E1 FE0F    ; Basic_Emoji                  ; shield                                                         # E0.7   [1] (🛡️)
1F6E2 FE0F    ; Basic_Emoji                  ; oil drum                                                       # E0.7   [1] (🛢️)
1F6E3 FE0F    ; Basic_Emoji                  ; motorway                                                       # E0.7   [1] (🛣️)
1F6E4 FE0F    ; Basic_Emoji                  ; railway track                                                  # E0.7   [1] (🛤️)
1F6E5 FE0F    ; Basic_Emoji                  ; motor boat                                                     # E0.7   [1] (🛥️)
1F6E9 FE0F    ; Basic_Emoji                  ; small airplane                                                 # E0.7   [1] (🛩️)
1F6F0 FE0F    ; Basic_Emoji                  ; satellite                                                      # E0.7   [1] (🛰️)
1F6F3 FE0F    ; Basic_Emoji                  ; passenger ship                                                 # E0.7   [1] (🛳️)

# Total elements: 1393

# ================================================

# Emoji_Keycap_Sequence

0023 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: \x{23}                                                 # E0.6   [1] (#️⃣)
002A FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: *                                                      # E2.0   [1] (*️⃣)
0030 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 0                                                      # E0.6   [1] (0️⃣)
0031 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 1                                                      # E0.6   [1] (1️⃣)
0032 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 2                                                      # E0.6   [1] (2️⃣)
0033 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 3                                                      # E0.6   [1] (3️⃣)
0034 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 4                                                      # E0.6   [1] (4️⃣)
0035 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 5                                                      # E0.6   [1] (5️⃣)
0036 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 6                                                      # E0.6   [1] (6️⃣)
0037 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 7                                                      # E0.6   [1] (7️⃣)
0038 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 8                                                      # E0.6   [1] (8️⃣)
0039 FE0F 20E3; Emoji_Keycap_Sequence        ; keycap: 9                                                      # E0.6   [1] (9️⃣)

# Total elements: 12

# ================================================

# RGI_Emoji_Flag_Sequence: This list does not include deprecated or macroregion flags, except for UN and EU.
# See Annex B of UTS #51 for more information.

1F1E6 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Ascension Island                                         # E2.0   [1] (🇦🇨)
1F1E6 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Andorra                                                  # E2.0   [1] (🇦🇩)
1F1E6 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: United Arab Emirates                                     # E2.0   [1] (🇦🇪)
1F1E6 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Afghanistan                                              # E2.0   [1] (🇦🇫)
1F1E6 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Antigua & Barbuda                                        # E2.0   [1] (🇦🇬)
1F1E6 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Anguilla                                                 # E2.0   [1] (🇦🇮)
1F1E6 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Albania                                                  # E2.0   [1] (🇦🇱)
1F1E6 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Armenia                                                  # E2.0   [1] (🇦🇲)
1F1E6 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Angola                                                   # E2.0   [1] (🇦🇴)
1F1E6 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Antarctica                                               # E2.0   [1] (🇦🇶)
1F1E6 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Argentina                                                # E2.0   [1] (🇦🇷)
1F1E6 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: American Samoa                                           # E2.0   [1] (🇦🇸)
1F1E6 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Austria                                                  # E2.0   [1] (🇦🇹)
1F1E6 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Australia                                                # E2.0   [1] (🇦🇺)
1F1E6 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Aruba                                                    # E2.0   [1] (🇦🇼)
1F1E6 1F1FD   ; RGI_Emoji_Flag_Sequence      ; flag: Åland Islands                                            # E2.0   [1] (🇦🇽)
1F1E6 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Azerbaijan                                               # E2.0   [1] (🇦🇿)
1F1E7 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Bosnia & Herzegovina                                     # E2.0   [1] (🇧🇦)
1F1E7 1F1E7   ; RGI_Emoji_Flag_Sequence      ; flag: Barbados                                                 # E2.0   [1] (🇧🇧)
1F1E7 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Bangladesh                                               # E2.0   [1] (🇧🇩)
1F1E7 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Belgium                                                  # E2.0   [1] (🇧🇪)
1F1E7 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Burkina Faso                                             # E2.0   [1] (🇧🇫)
1F1E7 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Bulgaria                                                 # E2.0   [1] (🇧🇬)
1F1E7 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Bahrain                                                  # E2.0   [1] (🇧🇭)
1F1E7 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Burundi                                                  # E2.0   [1] (🇧🇮)
1F1E7 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Benin                                                    # E2.0   [1] (🇧🇯)
1F1E7 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: St. Barthélemy                                           # E2.0   [1] (🇧🇱)
1F1E7 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Bermuda                                                  # E2.0   [1] (🇧🇲)
1F1E7 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Brunei                                                   # E2.0   [1] (🇧🇳)
1F1E7 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Bolivia                                                  # E2.0   [1] (🇧🇴)
1F1E7 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Caribbean Netherlands                                    # E2.0   [1] (🇧🇶)
1F1E7 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Brazil                                                   # E2.0   [1] (🇧🇷)
1F1E7 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Bahamas                                                  # E2.0   [1] (🇧🇸)
1F1E7 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Bhutan                                                   # E2.0   [1] (🇧🇹)
1F1E7 1F1FB   ; RGI_Emoji_Flag_Sequence      ; flag: Bouvet Island                                            # E2.0   [1] (🇧🇻)
1F1E7 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Botswana                                                 # E2.0   [1] (🇧🇼)
1F1E7 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Belarus                                                  # E2.0   [1] (🇧🇾)
1F1E7 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Belize                                                   # E2.0   [1] (🇧🇿)
1F1E8 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Canada                                                   # E2.0   [1] (🇨🇦)
1F1E8 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Cocos (Keeling) Islands                                  # E2.0   [1] (🇨🇨)
1F1E8 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Congo - Kinshasa                                         # E2.0   [1] (🇨🇩)
1F1E8 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Central African Republic                                 # E2.0   [1] (🇨🇫)
1F1E8 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Congo - Brazzaville                                      # E2.0   [1] (🇨🇬)
1F1E8 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Switzerland                                              # E2.0   [1] (🇨🇭)
1F1E8 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Côte d’Ivoire                                            # E2.0   [1] (🇨🇮)
1F1E8 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Cook Islands                                             # E2.0   [1] (🇨🇰)
1F1E8 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Chile                                                    # E2.0   [1] (🇨🇱)
1F1E8 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Cameroon                                                 # E2.0   [1] (🇨🇲)
1F1E8 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: China                                                    # E0.6   [1] (🇨🇳)
1F1E8 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Colombia                                                 # E2.0   [1] (🇨🇴)
1F1E8 1F1F5   ; RGI_Emoji_Flag_Sequence      ; flag: Clipperton Island                                        # E2.0   [1] (🇨🇵)
1F1E8 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Sark                                                     # E16.0  [1] (🇨🇶)
1F1E8 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Costa Rica                                               # E2.0   [1] (🇨🇷)
1F1E8 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Cuba                                                     # E2.0   [1] (🇨🇺)
1F1E8 1F1FB   ; RGI_Emoji_Flag_Sequence      ; flag: Cape Verde                                               # E2.0   [1] (🇨🇻)
1F1E8 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Curaçao                                                  # E2.0   [1] (🇨🇼)
1F1E8 1F1FD   ; RGI_Emoji_Flag_Sequence      ; flag: Christmas Island                                         # E2.0   [1] (🇨🇽)
1F1E8 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Cyprus                                                   # E2.0   [1] (🇨🇾)
1F1E8 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Czechia                                                  # E2.0   [1] (🇨🇿)
1F1E9 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Germany                                                  # E0.6   [1] (🇩🇪)
1F1E9 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Diego Garcia                                             # E2.0   [1] (🇩🇬)
1F1E9 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Djibouti                                                 # E2.0   [1] (🇩🇯)
1F1E9 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Denmark                                                  # E2.0   [1] (🇩🇰)
1F1E9 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Dominica                                                 # E2.0   [1] (🇩🇲)
1F1E9 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Dominican Republic                                       # E2.0   [1] (🇩🇴)
1F1E9 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Algeria                                                  # E2.0   [1] (🇩🇿)
1F1EA 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Ceuta & Melilla                                          # E2.0   [1] (🇪🇦)
1F1EA 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Ecuador                                                  # E2.0   [1] (🇪🇨)
1F1EA 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Estonia                                                  # E2.0   [1] (🇪🇪)
1F1EA 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Egypt                                                    # E2.0   [1] (🇪🇬)
1F1EA 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Western Sahara                                           # E2.0   [1] (🇪🇭)
1F1EA 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Eritrea                                                  # E2.0   [1] (🇪🇷)
1F1EA 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Spain                                                    # E0.6   [1] (🇪🇸)
1F1EA 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Ethiopia                                                 # E2.0   [1] (🇪🇹)
1F1EA 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: European Union                                           # E2.0   [1] (🇪🇺)
1F1EB 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Finland                                                  # E2.0   [1] (🇫🇮)
1F1EB 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Fiji                                                     # E2.0   [1] (🇫🇯)
1F1EB 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Falkland Islands                                         # E2.0   [1] (🇫🇰)
1F1EB 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Micronesia                                               # E2.0   [1] (🇫🇲)
1F1EB 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Faroe Islands                                            # E2.0   [1] (🇫🇴)
1F1EB 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: France                                                   # E0.6   [1] (🇫🇷)
1F1EC 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Gabon                                                    # E2.0   [1] (🇬🇦)
1F1EC 1F1E7   ; RGI_Emoji_Flag_Sequence      ; flag: United Kingdom                                           # E0.6   [1] (🇬🇧)
1F1EC 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Grenada                                                  # E2.0   [1] (🇬🇩)
1F1EC 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Georgia                                                  # E2.0   [1] (🇬🇪)
1F1EC 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: French Guiana                                            # E2.0   [1] (🇬🇫)
1F1EC 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Guernsey                                                 # E2.0   [1] (🇬🇬)
1F1EC 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Ghana                                                    # E2.0   [1] (🇬🇭)
1F1EC 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: Gibraltar                                                # E2.0   [1] (🇬🇮)
1F1EC 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Greenland                                                # E2.0   [1] (🇬🇱)
1F1EC 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Gambia                                                   # E2.0   [1] (🇬🇲)
1F1EC 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Guinea                                                   # E2.0   [1] (🇬🇳)
1F1EC 1F1F5   ; RGI_Emoji_Flag_Sequence      ; flag: Guadeloupe                                               # E2.0   [1] (🇬🇵)
1F1EC 1F1F6   ; RGI_Emoji_Flag_Sequence      ; flag: Equatorial Guinea                                        # E2.0   [1] (🇬🇶)
1F1EC 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Greece                                                   # E2.0   [1] (🇬🇷)
